Author,Affiliation,Publication Date,Journal Title,Title,Volume,URL
Stephen Broadberry*; Hanhui Guan*; David Daokui Li*,"Professor of Economic History, University of Oxford, Nuffield College, OX1 1NF, United Kingdom of Great Britain and Northern Ireland.
; Associate Professor, Peking University ??Economics, Yiheyuan Read, No. 5, Haidian District, Beijing PRC, Beijign, Beijing 100871, China.
; Professor of Economics, Tsinghua University School of Economics and Management, Beijing, Beijing, China.
",Dec-18,The Journal of Economic History,"China, Europe, and the Great Divergence: A Study in Historical National Accounting, 980??850",78,https://www.cambridge.org/core/journals/journal-of-economic-history/article/china-europe-and-the-great-divergence-a-study-in-historical-national-accounting-9801850/6451E62524E28874293D8ED6DED9A24F
Jason Long*; Henry Siu*,"Professor, Wheaton College ??Economics, 501 College Avenue, Wheaton, IL 60187.
; Professor, University of British Columbia - Vancouver School of Economics, Vancouver, British Columbia, Canada.
",Dec-18,The Journal of Economic History,Refugees from Dust and Shrinking Land: Tracking the Dust Bowl Migrants,78,https://www.cambridge.org/core/journals/journal-of-economic-history/article/refugees-from-dust-and-shrinking-land-tracking-the-dust-bowl-migrants/75E89BB833B4B266D01FA85DDB4A5A15
Emily Erikson*; Sampsa Samila*,"Associate Professor, Yale University, Department of Sociology, 493 College St., New Haven, CT, 06520.
; Assistant Professor, IESE Business School, Av Pearson 21, 080034 Barcelona, Spain.
",Dec-18,The Journal of Economic History,"Networks, Institutions, and Uncertainty: Information Exchange in Early-Modern Markets",78,https://www.cambridge.org/core/journals/journal-of-economic-history/article/networks-institutions-and-uncertainty-information-exchange-in-earlymodern-markets/1C62B7B1E07A8CEE2B0539EDEFA2E236
Christopher M. Meissner*; John P. Tang*,"Professor of Economics, University of California, Davis and NBER, Department of Economics, One Shields Avenue, Davis, CA 95616.
; Senior Lecturer, Australian National University, Research School of Economics, 26 LF Crisp Building, Canberra ACT 2601, Australia.
",Dec-18,The Journal of Economic History,"Upstart Industrialization and Exports: Evidence from Japan, 1880??910",78,https://www.cambridge.org/core/journals/journal-of-economic-history/article/upstart-industrialization-and-exports-evidence-from-japan-18801910/6549AF5E53A35FCFED5406704D98D331
Eric C. Edwards*; Steven M. Smith*,"Assistant Professor, Department of Agricultural and Resource Economics, North Carolina State University, Nelson Hall 4332, 2801 Founders Drive, Raleigh, NC 27695.
; Assistant Professor, Division of Economics and Business and Affiliate of the Payne Institute for Earth Resources at the Colorado School of Mines, Engineering Hall 323, 1500 Illinois Street, Golden, CO 80401.
",Dec-18,The Journal of Economic History,The Role of Irrigation in the Development of Agriculture in the United States,78,https://www.cambridge.org/core/journals/journal-of-economic-history/article/role-of-irrigation-in-the-development-of-agriculture-in-the-united-states/0B167527CEE1E625FD5489884724FAC0
Jennifer Alix-Garcia*; Sarah Walker*; Volker Radeloff*; Jacek Kozak*,"Department Head and Professor, Department of Applied Economics, Oregon State University, 207 Ballard Extension Hall, Corvallis, OR, 57331.
; Senior Lecturer, School of Economics, UNSW Business School, Level 4 459, University of New South Wales, Sydney, NSW 2052, Australia
; Professor, ILVIS Lab, Department of Forestry and Wildlife Ecology, University of Wisconsin - Madison, 1630 Linden Drive, Madison, WI, 53706.
; Professor, Institute of Geography and Spatial Management, Jagiellonian University, ul. Gronostajowa 7, 30-387 Krakow, Poland.
",Dec-18,The Journal of Economic History,Tariffs and Trees: The Effects of the Austro-Hungarian Customs Union on Specialization and Land-Use Change,78,https://www.cambridge.org/core/journals/journal-of-economic-history/article/tariffs-and-trees-the-effects-of-the-austrohungarian-customs-union-on-specialization-and-landuse-change/7E46911234B215865C27AE8975C664B8
Karen Clay*; Joshua Lewis*; Edson Severnini*,"Professor, Carnegie Mellon University (Heinz College), 4800 Forbes Ave, Pittsburgh, PA 15213.
; Assistant Professor, Department of Economics, Université de Montréal, 3150, rue Jean Brillant, Montreal, QC H3T 1N8 Canada.
; Assistant Professor, Carnegie Mellon University (Heinz College), 4800 Forbes Ave, Pittsburgh, PA 15213.
",Dec-18,The Journal of Economic History,"Pollution, Infectious Disease, and Mortality: Evidence from the 1918 Spanish Influenza Pandemic",78,https://www.cambridge.org/core/journals/journal-of-economic-history/article/pollution-infectious-disease-and-mortality-evidence-from-the-1918-spanish-influenza-pandemic/8A69CC00A169F36B11A49113404C93B0
Roy E. Bailey*; Timothy J. Hatton*; Kris Inwood*,"Honorary Senior Lecturer, Department of Economics, University of Essex, Colchester, CO4 3SQ, UK.
; Professor, Department of Economics, University of Essex, Colchester, CO4 3SQ, UK, and Australian National University, Canberra, ACT 2601, Australia.
; Professor, Economics, University of Guelph, Guelph, Ontario N1E 3C9Canada.
",Dec-18,The Journal of Economic History,"Atmospheric Pollution, Health, and Height in Late Nineteenth Century Britain",78,https://www.cambridge.org/core/journals/journal-of-economic-history/article/atmospheric-pollution-health-and-height-in-late-nineteenth-century-britain/45222CE345F6FC027F2AF2EC4018D913
,,,,,,
Joel Mokyr*,"Northwestern University
",Dec-18,The Journal of Economic History,"The Age of Machinery: Engineering the Industrial Revolution, 1770??850. A review essay of Gillian Cookson. Woodbridge, Suffolk, Boydell Press, 2018. Pp. 337. 35.01, hardcover.",78,https://www.cambridge.org/core/journals/journal-of-economic-history/article/age-of-machinery-engineering-the-industrial-revolution-17701850-a-review-essay-of-gillian-cookson-woodbridge-suffolk-boydell-press-2018-pp-337-2413-paper-artisanal-enlightenment-science-and-the-mechanical-arts-in-old-regime-france-by-paola-bertucci-new-haven-and-london-yale-university-press-2017-pp-312-3501-hardcover/819B7F53A1230843B84863B2C5C8BCBF
